City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,hithadhoo,-0.6,73.0833,28.41,79,93,7.1,MV,1690349528
154,la passe,45.5549,-0.8967,16.1,84,82,3.93,FR,1690349528
155,garoowe,8.4054,48.4845,26.96,48,36,14.31,SO,1690349529
156,constantia,44.1833,28.65,26.5,59,10,12.15,RO,1690349529
157,bethel,41.3712,-73.414,19.22,90,100,0.0,US,1690349452
158,codrington,-38.2667,141.9667,14.03,73,100,2.67,AU,1690349529
159,bahia de kino,28.8333,-111.9333,32.18,68,2,4.05,MX,1690349529
160,st. john's,47.5649,-52.7093,19.66,91,0,5.14,CA,1690349529
161,ingeniero jacobacci,-41.3427,-69.5448,0.52,89,19,3.47,AR,1690349529
162,brokopondo,4.75,-55.1667,24.61,90,100,1.1,SR,1690349530
163,mar del plata,-38.0023,-57.5575,11.72,97,100,6.71,AR,1690349265
164,arraial do cabo,-22.9661,-42.0278,21.36,91,37,10.66,BR,1690349530
165,palikir - national government center,6.9248,158.1611,27.47,83,100,5.14,FM,1690349530
166,kushiro,42.975,144.3747,29.53,70,20,5.14,JP,1690349530
167,cova figueira,14.8905,-24.2934,23.08,89,92,4.99,CV,1690349530
168,vilyuysk,63.7553,121.6247,23.93,32,36,3.13,RU,1690349530
169,santa elena de uairen,4.6167,-61.1333,19.45,97,99,1.02,VE,1690349530
170,vernon,50.2581,-119.2691,17.74,48,34,1.54,CA,1690349356
171,anna regina,7.2644,-58.5077,26.57,83,25,3.78,GY,1690349531
172,yangquan,37.8575,113.5633,33.81,35,7,4.13,CN,1690349531
173,tionk essil,12.7856,-16.5217,26.98,90,100,1.24,SN,1690349531
174,kaa-khem,51.6833,94.7333,26.34,33,82,2.38,RU,1690349531
175,san jose de feliciano,-30.3845,-58.7517,11.82,96,99,2.71,AR,1690349531
176,aykhal,66.0,111.5,21.99,47,84,5.35,RU,1690349531
177,fengxiang,47.5833,130.8333,30.25,51,3,5.55,CN,1690349532
178,den helder,52.9599,4.7593,13.99,86,75,3.6,NL,1690349532
179,bismarck,46.8083,-100.7837,24.37,77,0,3.09,US,1690349259
180,vorgashor,67.5833,63.95,21.19,57,100,4.3,RU,1690349532
181,laguna,38.421,-121.4238,28.2,44,0,4.12,US,1690349532
182,atar,20.5169,-13.0499,32.42,16,31,3.36,MR,1690349532
183,eaton socon,52.2175,-0.2893,11.78,90,21,3.18,GB,1690349532
184,hobyo,5.3505,48.5268,26.84,70,37,11.48,SO,1690349533
185,puerto baquerizo moreno,-0.9,-89.6,24.63,81,83,4.26,EC,1690349533
186,ljungsbro,58.5167,15.5,12.94,85,31,4.63,SE,1690349533
187,krugersdorp,-26.0858,27.7752,8.12,86,60,2.63,ZA,1690349533
188,lijiang,26.8688,100.2207,24.6,54,91,2.51,CN,1690349533
189,kirakira,-10.4544,161.9205,27.39,84,80,5.98,SB,1690349533
190,puerto ayora,-0.7393,-90.3518,24.75,95,48,2.24,EC,1690349533
191,tabas,33.5959,56.9244,37.95,10,0,0.35,IR,1690349533
192,kalawit,8.0667,122.5167,29.78,73,82,4.41,PH,1690349534
193,necochea,-38.5473,-58.7368,7.67,93,100,2.87,AR,1690349534
194,melo,-32.3667,-54.1833,13.7,99,100,2.45,UY,1690349534
195,yilan,24.757,121.753,28.9,99,100,8.12,TW,1690349534
196,gulu,2.7746,32.299,22.53,73,97,1.19,UG,1690349534
197,pokachi,61.7198,75.3683,24.06,54,82,1.98,RU,1690349534
198,vila franca do campo,37.7167,-25.4333,19.23,81,15,0.91,PT,1690349535
199,ust-nera,64.5667,143.2,19.88,49,75,2.44,RU,1690349440
200,bodo,67.28,14.405,17.1,72,0,5.66,NO,1690349535
201,dalaba,10.7,-12.25,16.57,99,98,0.74,GN,1690349535
202,istmina,5.1605,-76.684,23.48,98,100,0.67,CO,1690349535
203,mawlamyinegyunn,16.3833,95.2667,29.7,73,76,3.54,MM,1690349535
204,oodweyne,9.4092,45.064,24.04,51,26,11.93,SO,1690349535
205,touros,-5.1989,-35.4608,22.55,89,8,5.63,BR,1690349424
206,colonia,50.9333,6.95,14.41,80,0,2.06,DE,1690349387
207,manokwari,-0.8667,134.0833,28.84,70,47,2.68,ID,1690349536
208,pacific grove,36.6177,-121.9166,17.23,88,0,2.06,US,1690349536
209,pont rouge,48.8833,-72.0825,16.16,79,78,0.64,CA,1690349536
210,al bawiti,28.3492,28.8659,28.93,48,4,4.54,EG,1690349536
211,fort-shevchenko,44.5086,50.263,26.85,56,0,6.97,KZ,1690349536
212,tazacorte,28.629,-17.9293,22.54,90,100,4.63,ES,1690349537
213,vanimo,-2.6741,141.3028,28.47,77,61,3.24,PG,1690349537
214,quatre cocos,-20.2078,57.7625,25.05,73,6,2.61,MU,1690349537
215,jijiga,9.35,42.8,20.31,65,61,10.64,ET,1690349537
216,littlefield,33.9173,-102.3249,27.01,29,31,5.22,US,1690349537
217,arkhangel'sk,64.5401,40.5433,18.16,67,32,2.71,RU,1690349537
218,port alfred,-33.5906,26.891,16.61,30,0,3.42,ZA,1690349538
219,mabaruma,8.2,-59.7833,22.84,99,28,0.9,GY,1690349538
220,saint-louis,16.3333,-15.0,27.17,74,98,6.67,SN,1690349538
221,dubinino,55.6192,89.0911,22.23,62,99,3.82,RU,1690349538
222,rodolfo sanchez taboada,31.7167,-116.5667,20.61,81,39,0.45,MX,1690349538
223,utrik,11.2278,169.8474,28.62,81,99,7.91,MH,1690349539
224,nuuk,64.1835,-51.7216,4.34,100,100,7.72,GL,1690349539
225,talcahuano,-36.7167,-73.1167,6.82,100,75,1.54,CL,1690349539
226,ridgecrest,35.6225,-117.6709,33.92,19,0,3.6,US,1690349291
227,vikhorevka,56.1201,101.1636,23.77,67,86,2.22,RU,1690349539
228,krokek,58.6667,16.4,13.06,82,75,3.6,SE,1690349540
229,cancun,21.1743,-86.8466,28.96,84,20,2.06,MX,1690349256
230,daru,-9.0763,143.2092,26.5,68,93,5.58,PG,1690349541
231,port douglas,-16.4833,145.4667,22.25,86,92,8.38,AU,1690349541
232,qamdo,31.1667,97.2333,13.48,54,87,3.86,CN,1690349541
233,molsheim,49.6467,8.1694,14.12,84,95,0.45,DE,1690349541
234,northam,51.0333,-4.2167,12.01,93,46,3.02,GB,1690349542
235,rio claro,-22.4114,-47.5614,19.11,76,31,1.06,BR,1690349542
236,revda,56.801,59.9303,22.93,46,25,3.26,RU,1690349542
237,nyurba,63.2842,118.3319,25.35,41,71,3.31,RU,1690349542
238,umm ruwaba,12.9061,31.2158,28.65,61,99,6.42,SD,1690349539
239,wewak,-3.5534,143.6268,28.31,75,75,3.29,PG,1690349542
240,champerico,14.3,-91.9167,27.38,81,13,2.76,GT,1690349543
241,kharovsk,59.9642,40.1912,14.04,97,100,3.22,RU,1690349543
242,guerrero negro,27.9769,-114.0611,19.93,84,6,5.28,MX,1690349543
243,carnarvon,-24.8667,113.6333,18.3,54,66,6.68,AU,1690349543
244,talnakh,69.4865,88.3972,23.45,46,0,0.73,RU,1690349543
245,popilnia,49.9665,29.4435,22.47,67,36,5.84,UA,1690349543
246,jakar,27.5492,90.7525,18.24,88,100,2.11,BT,1690349544
247,luba,3.4568,8.5547,22.94,88,91,1.89,GQ,1690349544
248,khandyga,62.6667,135.6,24.54,54,45,2.91,RU,1690349544
249,saint-pierre,-21.3393,55.4781,25.87,53,0,3.09,RE,1690349544
250,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,56,20,6.0,RU,1690349545
251,wynyard,-41.0,145.7167,13.14,76,87,3.5,AU,1690349545
252,vilyuchinsk,52.9306,158.4028,23.15,75,31,2.22,RU,1690349545
253,vadso,70.0744,29.7487,10.49,93,75,2.57,NO,1690349545
254,kavaratti,10.5669,72.642,27.83,77,100,7.84,IN,1690349546
255,isangel,-19.55,169.2667,22.06,78,75,4.12,VU,1690349546
256,ulundi,-28.3352,31.4162,13.83,74,95,2.03,ZA,1690349546
257,maintirano,-18.0667,44.0167,23.39,56,27,4.45,MG,1690349546
258,uturoa,-16.7333,-151.4333,26.15,82,10,2.58,PF,1690349546
259,mangrol,21.1167,70.1167,28.55,81,59,7.02,IN,1690349546
260,khuzdar,27.7384,66.6434,27.47,65,100,2.16,PK,1690349547
261,nova sintra,14.8667,-24.7167,22.45,87,86,6.44,CV,1690349547
262,tsiombe,-25.3,45.4833,19.71,51,95,5.51,MG,1690349547
263,sinabang,2.4803,96.3801,29.58,67,92,1.91,ID,1690349373
264,chifeng,42.2683,118.9636,35.76,26,12,3.49,CN,1690349547
265,bel ombre,-4.6167,55.4167,26.91,78,40,7.2,SC,1690349547
266,piton saint-leu,-21.2196,55.3151,24.11,53,0,3.09,RE,1690349547
267,anshun,26.25,105.9333,25.35,76,97,4.2,CN,1690349548
268,kodiak,57.79,-152.4072,15.73,77,40,2.57,US,1690349548
269,balabac,7.9868,117.0645,29.69,73,95,7.9,PH,1690349548
270,kollam,8.8833,76.6,27.51,72,100,4.51,IN,1690349548
271,turpan,42.9333,89.1667,43.02,9,4,1.35,CN,1690349548
272,chake chake,-5.2459,39.7666,25.78,72,51,4.89,TZ,1690349548
273,garissa,-0.4536,39.6401,25.52,63,58,9.67,KE,1690349548
274,cannonvale,-20.2833,148.7,20.66,67,13,9.39,AU,1690349549
275,eforie sud,44.0229,28.6494,26.56,59,6,11.65,RO,1690349549
276,san patricio,28.017,-97.5169,29.36,77,0,5.1,US,1690349549
277,arno,60.1167,18.6333,14.79,85,31,4.31,SE,1690349549
278,hilo,19.7297,-155.09,27.93,88,100,3.6,US,1690349499
279,mtwara,-10.2667,40.1833,22.63,100,20,10.29,TZ,1690349549
280,pangody,65.85,74.4859,24.86,55,82,8.29,RU,1690349549
281,mirandopolis,-21.1336,-51.1017,19.42,63,17,3.67,BR,1690349550
282,russkaya polyana,49.417,31.9201,26.62,56,55,7.27,UA,1690349550
283,simplicio mendes,-7.8539,-41.9103,22.54,61,41,4.08,BR,1690349550
284,grand falls-windsor,48.9332,-55.6649,17.5,93,26,1.84,CA,1690349550
285,ukiah,39.1502,-123.2078,22.94,53,0,0.0,US,1690349405
286,rancho palos verdes,33.7445,-118.387,26.96,86,0,1.34,US,1690349550
287,ar rutbah,33.0381,40.2848,33.01,16,0,2.76,IQ,1690349550
288,chonchi,-42.6128,-73.8092,6.73,96,66,1.13,CL,1690349551
289,praia da vitoria,38.7333,-27.0667,21.14,94,40,3.15,PT,1690349551
290,terekli-mekteb,44.1671,45.8698,28.2,45,0,4.36,RU,1690349551
291,barranca,-10.75,-77.7667,18.69,83,60,3.05,PE,1690349551
292,udachny,66.4167,112.4,21.92,52,100,3.81,RU,1690349551
293,nanlong,31.3533,106.0631,26.7,85,100,1.0,CN,1690349551
294,kargasok,59.0556,80.8572,23.36,59,30,4.2,RU,1690349551
295,karratha,-20.7377,116.8463,20.92,65,86,6.1,AU,1690349552
296,mlandizi,-6.7,38.7333,25.13,69,52,2.19,TZ,1690349552
297,balatonboglar,46.7752,17.6441,17.19,84,96,7.28,HU,1690349552
298,coquimbo,-29.9533,-71.3436,12.85,94,75,1.54,CL,1690349552
299,dame-marie,18.5667,-74.4167,26.9,79,60,2.32,HT,1690349552
300,hami,42.8,93.45,37.78,8,0,2.64,CN,1690349553
301,kalajoki,64.25,23.95,16.62,79,12,1.45,FI,1690349553
302,brooks,50.5834,-111.8851,16.13,73,32,0.51,CA,1690349553
303,ciranjang-hilir,-6.82,107.2572,28.46,49,64,2.48,ID,1690349553
304,phra phutthabat,14.7253,100.7954,34.26,57,83,3.65,TH,1690349553
305,tucuma,-0.1833,-50.05,24.87,88,50,2.55,BR,1690349553
306,lamu,-2.2717,40.902,26.12,74,25,6.38,KE,1690349554
307,iskateley,67.6803,53.1512,20.13,65,77,1.4,RU,1690349554
308,porto belo,-27.1578,-48.5531,19.33,88,25,1.33,BR,1690349554
309,yanam,16.7333,82.2167,24.86,94,100,5.42,IN,1690349554
310,lata,40.1629,-8.3327,13.37,81,0,1.75,PT,1690349554
311,oranjemund,-28.55,16.4333,13.24,75,60,5.62,NA,1690349554
312,kiffa,16.6166,-11.4045,28.28,63,97,4.78,MR,1690349555
313,nicoya,10.1483,-85.452,24.46,83,100,1.83,CR,1690349555
314,badger,64.8,-147.5333,27.93,60,75,2.57,US,1690349555
315,tomatlan,19.9333,-105.25,24.82,86,100,1.21,MX,1690349555
316,cabedelo,-6.9811,-34.8339,21.37,84,13,5.47,BR,1690349555
317,morehead city,34.7229,-76.726,29.0,86,96,0.89,US,1690349479
318,remire-montjoly,4.9167,-52.2667,24.02,100,100,0.0,GF,1690349555
319,visby,57.6409,18.296,16.69,82,20,4.63,SE,1690349556
320,carutapera,-1.195,-46.02,24.23,90,34,2.37,BR,1690349556
321,duck lake,52.8168,-106.2344,18.63,63,1,4.38,CA,1690349556
322,keflavik,64.0049,-22.5624,12.24,82,75,5.14,IS,1690349556
323,bamboo flat,11.7,92.7167,31.05,74,75,6.17,IN,1690349556
324,batang berjuntai,3.3833,101.4167,33.74,62,59,2.76,MY,1690349556
325,nemuro,43.3236,145.575,18.88,96,78,3.22,JP,1690349557
326,mili,6.0815,171.735,27.57,76,100,3.35,MH,1690349557
327,hasaki,35.7333,140.8333,35.73,74,29,5.35,JP,1690349557
328,sambava,-14.2667,50.1667,23.64,71,24,5.43,MG,1690349557
329,saint-francois,46.4154,3.9054,13.69,88,75,1.54,FR,1690349557
330,unai,-16.3575,-46.9061,18.08,44,1,0.65,BR,1690349557
331,kapuskasing,49.4169,-82.4331,17.05,72,20,3.09,CA,1690349522
332,noshiro,40.2039,140.0242,27.46,77,12,3.97,JP,1690349557
333,lalganj,25.8667,85.1833,33.97,44,57,4.77,IN,1690349557
334,caibarien,22.5206,-79.4669,25.62,78,30,5.32,CU,1690349558
335,dhidhdhoo,6.8833,73.1,28.09,73,100,4.44,MV,1690349558
336,qina,26.1642,32.7267,34.78,20,2,0.97,EG,1690349558
337,baley,51.6,116.6333,29.72,27,40,3.65,RU,1690349558
338,kununurra,-15.7667,128.7333,24.99,29,24,3.6,AU,1690349290
339,tabou,4.423,-7.3528,24.51,90,100,3.21,CI,1690349558
340,nilgiri,21.4581,86.7669,31.35,70,58,8.74,IN,1690349558
341,sorong,-0.8833,131.25,29.4,69,81,5.24,ID,1690349559
342,the pas,53.8251,-101.2541,20.01,64,100,3.6,CA,1690349559
343,kotabumi,-4.8333,104.9,30.85,63,93,2.9,ID,1690349559
344,sao joao do piaui,-8.3581,-42.2467,23.22,63,34,4.12,BR,1690349559
345,khanpur mahar,27.8436,69.4137,33.06,60,100,1.31,PK,1690349559
346,moussoro,13.6408,16.4901,29.79,51,93,6.01,TD,1690349559
347,otterberg,49.5,7.7667,13.49,71,100,2.06,DE,1690349518
348,luchegorsk,46.4764,134.2569,31.27,43,65,2.7,RU,1690349559
349,tagiura,32.8817,13.3506,32.16,48,0,3.88,LY,1690349560
350,taroudant,30.4703,-8.877,19.4,80,0,0.64,MA,1690349560
351,kailua-kona,19.6406,-155.9956,27.98,83,100,4.63,US,1690349262
352,tralee,52.2704,-9.7026,14.57,97,100,2.3,IE,1690349560
353,zanesville,39.9404,-82.0132,21.16,95,0,0.0,US,1690349419
354,forster,-32.1667,152.5167,19.05,58,0,3.08,AU,1690349560
355,baracoa,20.3467,-74.4958,26.81,88,84,4.32,CU,1690349560
356,amurzet,47.6967,131.0981,30.67,48,2,5.29,RU,1690349560
357,kristiansund,63.1115,7.732,15.36,88,0,2.06,NO,1690349561
358,nadym,65.5333,72.5167,24.53,63,81,6.62,RU,1690349561
359,brantford,43.1334,-80.2664,22.21,89,22,2.45,CA,1690349561
360,claiborne,32.516,-92.1918,25.84,76,0,0.0,US,1690349561
361,ketchikan,55.3422,-131.6461,18.26,68,75,2.57,US,1690349561
362,mananjary,-21.2167,48.3333,19.49,83,87,4.69,MG,1690349561
363,black point,-34.6187,137.8972,15.18,56,0,2.31,AU,1690349561
364,torghay,49.6339,63.4981,29.25,37,70,3.52,KZ,1690349437
